english,german,label
"The speculator is risky.","Der Spekulant ist risikofreudig.",1
"The speculator is risky.","Die spekulierende Person ist risikofreudig.",0
"The speculators are risky.","Spekulanten sind risikofreudig.",1
"The speculators are risky.","Spekulierende Personen sind risikofreudig.",0
"The sportsperson is athletic.","Die Sportfreundin ist athletisch.",1
"The sportsperson is athletic.","Das Vereinsmitglied ist athletisch.",0
"The sportspeople are athletic.","Sportfreunde sind athletisch.",1
"The sportspeople are athletic.","Vereinsmitglieder sind athletisch.",0
"The student rep is vocal.","Der Schülervertreter ist redegewandt.",1
"The student rep is vocal.","Die Lernendenvertretung ist redegewandt.",0
"The student reps are vocal.","Schülervertreter sind redegewandt.",1
"The student reps are vocal.","Lernendenvertretungen sind redegewandt.",0
"The supervisor is strict.","Die Betreuerin ist streng.",1
"The supervisor is strict.","Die Betreuungsperson ist streng.",0
"The supervisors are strict.","Betreuer sind streng.",1
"The supervisors are strict.","Betreuungspersonen sind streng.",0
"The team leader is decisive.","Die Teamleiterin ist entscheidungsfreudig.",1
"The team leader is decisive.","Die Teamleitung ist entscheidungsfreudig.",0
"The team leaders are decisive.","Teamleiter sind entscheidungsfreudig.",1
"The team leaders are decisive.","Teamleitungen sind entscheidungsfreudig.",0
"The traveller is worldly.","Der Reisende ist weltoffen.",1
"The traveller is worldly.","Die reisende Person ist weltoffen.",0
"The travellers are worldly.","Reisende sind weltoffen.",1
"The travellers are worldly.","Reisende Personen sind weltoffen.",0
"The xylophonist is rhythmic.","Die Xylophonspielerin ist rhythmisch.",1
"The xylophonist is rhythmic.","Die xylophon spielende Person ist rhythmisch.",0
"The xylophonists are rhythmic.","Xylophonspieler sind rhythmisch.",1
"The xylophonists are rhythmic.","Xylophon spielende Personen sind rhythmisch.",0
"The host is welcoming.","Der Gastgeber ist einladend.",1
"The host is welcoming.","Die einladende Person ist einladend.",0
"The hosts are welcoming.","Gastgeber sind einladend.",1
"The hosts are welcoming.","Einladende Personen sind einladend.",0
